COUNTRY,YEAR,PC_DEP,NAME
ALB,1990,6.412,Albania
ALB,1991,-3.496,Albania
ALB,1992,-3.378,Albania
ALB,1993,0.194,Albania
ALB,1994,3.586,Albania
ALB,1995,6.696,Albania
ALB,1996,6.354,Albania
ALB,1997,8.776,Albania
ALB,1998,16.347,Albania
ALB,1999,41.525,Albania
ALB,2000,45.781,Albania
ALB,2001,52.21,Albania
ALB,2002,53.36,Albania
ALB,2003,50.757,Albania
ALB,2004,47.764,Albania
ALB,2005,49.71,Albania
ALB,2006,40.387,Albania
ALB,2007,49.179,Albania
ALB,2008,49.78,Albania
ALB,2009,46.388,Albania
ALB,2010,28.897,Albania
ALB,2011,35.658,Albania
ALB,2012,15.626,Albania
ALB,2013,25.3,Albania
ALB,2014,28.716,Albania
ALB,2015,12.593,Albania
ALB,2016,20.128,Albania
ALB,2017,38.126,Albania
ALB,2018,20.967,Albania
ALB,2019,31.546,Albania
ALB,2020,35.822,Albania
AUT,1990,68.826,Austria
AUT,1991,66.867,Austria
AUT,1992,68.662,Austria
AUT,1993,65.905,Austria
AUT,1994,65.449,Austria
AUT,1995,66.555,Austria
AUT,1996,69.596,Austria
AUT,1997,67.603,Austria
AUT,1998,70.371,Austria
AUT,1999,65.428,Austria
AUT,2000,65.543,Austria
AUT,2001,65.04,Austria
AUT,2002,68.022,Austria
AUT,2003,70.993,Austria
AUT,2004,71.072,Austria
AUT,2005,71.761,Austria
AUT,2006,72.257,Austria
AUT,2007,68.48,Austria
AUT,2008,68.738,Austria
AUT,2009,65.121,Austria
AUT,2010,62.779,Austria
AUT,2011,69.976,Austria
AUT,2012,63.782,Austria
AUT,2013,61.261,Austria
AUT,2014,65.62,Austria
AUT,2015,60.371,Austria
AUT,2016,62.099,Austria
AUT,2017,63.928,Austria
AUT,2018,64.231,Austria
AUT,2019,71.623,Austria
AUT,2020,58.324,Austria
BEL,1990,75.267,Belgium
BEL,1991,77.077,Belgium
BEL,1992,78.167,Belgium
BEL,1993,76.775,Belgium
BEL,1994,79.863,Belgium
BEL,1995,80.952,Belgium
BEL,1996,80.543,Belgium
BEL,1997,78.419,Belgium
BEL,1998,80.851,Belgium
BEL,1999,77.028,Belgium
BEL,2000,78.164,Belgium
BEL,2001,80.693,Belgium
BEL,2002,77.667,Belgium
BEL,2003,79.704,Belgium
BEL,2004,79.773,Belgium
BEL,2005,79.908,Belgium
BEL,2006,79.484,Belgium
BEL,2007,76.879,Belgium
BEL,2008,80.843,Belgium
BEL,2009,75.913,Belgium
BEL,2010,78.553,Belgium
