country,year,product,value,siec,,,,
ALB,2009,Solid fossil fuels,4207.734,C0000X0350-0370,,,,
ALB,2010,Solid fossil fuels,4643.1612,C0000X0350-0370,,,,
ALB,2011,Solid fossil fuels,5818.563432,C0000X0350-0370,,,,
ALB,2012,Solid fossil fuels,3233.2563,C0000X0350-0370,,,,
ALB,2013,Solid fossil fuels,2805.36534,C0000X0350-0370,,,,
ALB,2014,Solid fossil fuels,3619.446732,C0000X0350-0370,,,,
ALB,2015,Solid fossil fuels,3939.318252,C0000X0350-0370,,,,
ALB,2016,Solid fossil fuels,2090.929788,C0000X0350-0370,,,,
ALB,2017,Solid fossil fuels,5156.002332,C0000X0350-0370,,,,
ALB,2018,Solid fossil fuels,10010.38759,C0000X0350-0370,,,,
ALB,2019,Solid fossil fuels,5170.781736,C0000X0350-0370,,,,
ALB,2020,Solid fossil fuels,6308.084088,C0000X0350-0370,,,,
AUT,2009,Solid fossil fuels,120111.0021,C0000X0350-0370,,,,
AUT,2010,Solid fossil fuels,141661.7596,C0000X0350-0370,,,,
AUT,2011,Solid fossil fuels,145803.5515,C0000X0350-0370,,,,
AUT,2012,Solid fossil fuels,135864.4233,C0000X0350-0370,,,,
AUT,2013,Solid fossil fuels,138868.9128,C0000X0350-0370,,,,
AUT,2014,Solid fossil fuels,127677.4708,C0000X0350-0370,,,,
AUT,2015,Solid fossil fuels,135032.7155,C0000X0350-0370,,,,
AUT,2016,Solid fossil fuels,126175.3726,C0000X0350-0370,,,,
AUT,2017,Solid fossil fuels,130158.3173,C0000X0350-0370,,,,
AUT,2018,Solid fossil fuels,114699.4375,C0000X0350-0370,,,,
AUT,2019,Solid fossil fuels,120792.1526,C0000X0350-0370,,,,
AUT,2020,Solid fossil fuels,103476.9713,C0000X0350-0370,,,,
BIH,2014,Solid fossil fuels,153149.5852,C0000X0350-0370,,,,
BIH,2015,Solid fossil fuels,151370.1534,C0000X0350-0370,,,,
BIH,2016,Solid fossil fuels,172152.968,C0000X0350-0370,,,,
BIH,2017,Solid fossil fuels,175373.0778,C0000X0350-0370,,,,
BIH,2018,Solid fossil fuels,177104.9057,C0000X0350-0370,,,,
BIH,2019,Solid fossil fuels,163623.4934,C0000X0350-0370,,,,
BIH,2020,Solid fossil fuels,167877.031,C0000X0350-0370,,,,
BEL,2009,Solid fossil fuels,131267.6937,C0000X0350-0370,,,,
BEL,2010,Solid fossil fuels,158561.6104,C0000X0350-0370,,,,
BEL,2011,Solid fossil fuels,146752.5316,C0000X0350-0370,,,,
BEL,2012,Solid fossil fuels,135470.8641,C0000X0350-0370,,,,
BEL,2013,Solid fossil fuels,149179.2428,C0000X0350-0370,,,,
BEL,2014,Solid fossil fuels,145550.6688,C0000X0350-0370,,,,
BEL,2015,Solid fossil fuels,143395.0948,C0000X0350-0370,,,,
BEL,2016,Solid fossil fuels,132102.4998,C0000X0350-0370,,,,
BEL,2017,Solid fossil fuels,128063.9543,C0000X0350-0370,,,,
BEL,2018,Solid fossil fuels,128525.0466,C0000X0350-0370,,,,
BEL,2019,Solid fossil fuels,127276.4173,C0000X0350-0370,,,,
BEL,2020,Solid fossil fuels,98455.40716,C0000X0350-0370,,,,
BGR,2009,Solid fossil fuels,268619.1846,C0000X0350-0370,,,,
BGR,2010,Solid fossil fuels,290488.432,C0000X0350-0370,,,,
BGR,2011,Solid fossil fuels,338866.1942,C0000X0350-0370,,,,
BGR,2012,Solid fossil fuels,289517.22,C0000X0350-0370,,,,
BGR,2013,Solid fossil fuels,248973.2118,C0000X0350-0370,,,,
BGR,2014,Solid fossil fuels,266166.599,C0000X0350-0370,,,,
BGR,2015,Solid fossil fuels,276638.7907,C0000X0350-0370,,,,
BGR,2016,Solid fossil fuels,238588.4824,C0000X0350-0370,,,,
BGR,2017,Solid fossil fuels,256347.7575,C0000X0350-0370,,,,
BGR,2018,Solid fossil fuels,235872.5052,C0000X0350-0370,,,,
BGR,2019,Solid fossil fuels,219757.2608,C0000X0350-0370,,,,
BGR,2020,Solid fossil fuels,179316.0804,C0000X0350-0370,,,,
CYP,2009,Solid fossil fuels,609.556212,C0000X0350-0370,,,,
CYP,2010,Solid fossil fuels,702.503172,C0000X0350-0370,,,,
CYP,2011,Solid fossil fuels,312.33528,C0000X0350-0370,,,,
CYP,2012,Solid fossil fuels,5.191632,C0000X0350-0370,,,,
CYP,2013,Solid fossil fuels,5.191632,C0000X0350-0370,,,,
CYP,2014,Solid fossil fuels,92.863224,C0000X0350-0370,,,,
CYP,2015,Solid fossil fuels,154.032372,C0000X0350-0370,,,,
CYP,2016,Solid fossil fuels,0,C0000X0350-0370,,,,
CYP,2017,Solid fossil fuels,124.76664,C0000X0350-0370,,,,
CYP,2018,Solid fossil fuels,569.990952,C0000X0350-0370,,,,
CYP,2019,Solid fossil fuels,720.087732,C0000X0350-0370,,,,
CYP,2020,Solid fossil fuels,586.319472,C0000X0350-0370,,,,
CZE,2009,Solid fossil fuels,737229.2448,C0000X0350-0370,,,,
CZE,2010,Solid fossil fuels,789085.1493,C0000X0350-0370,,,,
CZE,2011,Solid fossil fuels,766218.3549,C0000X0350-0370,,,,
CZE,2012,Solid fossil fuels,723609.3751,C0000X0350-0370,,,,
CZE,2013,Solid fossil fuels,723322.8305,C0000X0350-0370,,,,
CZE,2014,Solid fossil fuels,668718.878,C0000X0350-0370,,,,
CZE,2015,Solid fossil fuels,686409.5315,C0000X0350-0370,,,,
CZE,2016,Solid fossil fuels,693078.0572,C0000X0350-0370,,,,
CZE,2017,Solid fossil fuels,663089.7672,C0000X0350-0370,,,,
CZE,2018,Solid fossil fuels,662154.3524,C0000X0350-0370,,,,
CZE,2019,Solid fossil fuels,594572.0735,C0000X0350-0370,,,,
CZE,2020,Solid fossil fuels,510313.7283,C0000X0350-0370,,,,
DEU,2009,Solid fossil fuels,3017493.665,C0000X0350-0370,,,,
