from,to,year,coal_value,from_name,from_lat,from_lon,to_name,to_lat,to_lon
TOTAL,ALB,1990,302.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,1991,200.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,1992,50.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,1993,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,1994,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,1995,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,1996,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,1997,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,1998,0.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,1999,70.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2000,43.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2001,64.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2002,47.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2003,6.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2004,6.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2005,9.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2006,9.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2007,9.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2008,9.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2009,151.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2010,167.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2011,212.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2012,117.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2013,102.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2014,133.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2015,102.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2016,81.0,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2017,80.45,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2018,131.972,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2019,121.026,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,ALB,2020,137.43,Total,0.0,0.0,Albania,41.153332,20.168331
TOTAL,AUT,1990,4756.0,Total,0.0,0.0,Austria,47.516231,14.550072
TOTAL,AUT,1991,5020.0,Total,0.0,0.0,Austria,47.516231,14.550072
TOTAL,AUT,1992,4759.0,Total,0.0,0.0,Austria,47.516231,14.550072
TOTAL,AUT,1993,4007.0,Total,0.0,0.0,Austria,47.516231,14.550072
TOTAL,AUT,1994,3832.0,Total,0.0,0.0,Austria,47.516231,14.550072
TOTAL,AUT,1995,3925.0,Total,0.0,0.0,Austria,47.516231,14.550072
