product,country,year,value
Solid fossil fuels,Germany,1990,1119157.2
Solid fossil fuels,Germany,1991,1107622.8
Solid fossil fuels,Germany,1992,1064419.2
Solid fossil fuels,Germany,1993,1055674.8
Solid fossil fuels,Germany,1994,1045022.4
Solid fossil fuels,Germany,1995,1040911.2
Solid fossil fuels,Germany,1996,1065571.2
Solid fossil fuels,Germany,1997,1023624.0
Solid fossil fuels,Germany,1998,1052128.8
Solid fossil fuels,Germany,1999,1012572.0
Solid fossil fuels,Germany,2000,1068073.2
Solid fossil fuels,Germany,2001,1057442.4
Solid fossil fuels,Germany,2002,1078538.4
Solid fossil fuels,Germany,2003,1097028.0
Solid fossil fuels,Germany,2004,1076137.2
Solid fossil fuels,Germany,2005,1037314.8
Solid fossil fuels,Germany,2006,1040169.6
Solid fossil fuels,Germany,2007,1069578.0
Solid fossil fuels,Germany,2008,990752.4
Solid fossil fuels,Germany,2009,912402.0
Solid fossil fuels,Germany,2010,946429.2
Solid fossil fuels,Germany,2011,944892.0
Solid fossil fuels,Germany,2012,994420.8
Solid fossil fuels,Germany,2013,1037527.2
Solid fossil fuels,Germany,2014,987876.0
Solid fossil fuels,Germany,2015,979920.0
Solid fossil fuels,Germany,2016,942282.0
Solid fossil fuels,Germany,2017,868514.4
Solid fossil fuels,Germany,2018,821361.6
Solid fossil fuels,Germany,2019,617220.0
Solid fossil fuels,Germany,2020,480916.8
Solid fossil fuels,Spain,1990,215053.2
Solid fossil fuels,Spain,1991,211665.6
Solid fossil fuels,Spain,1992,231199.2
Solid fossil fuels,Spain,1993,224686.8
Solid fossil fuels,Spain,1994,221637.6
Solid fossil fuels,Spain,1995,237286.8
Solid fossil fuels,Spain,1996,194194.8
Solid fossil fuels,Spain,1997,225608.4
Solid fossil fuels,Spain,1998,221706.0
Solid fossil fuels,Spain,1999,264992.4
Solid fossil fuels,Spain,2000,284738.4
Solid fossil fuels,Spain,2001,252972.0
Solid fossil fuels,Spain,2002,292255.2
Solid fossil fuels,Spain,2003,268999.2
Solid fossil fuels,Spain,2004,284781.6
Solid fossil fuels,Spain,2005,284590.8
Solid fossil fuels,Spain,2006,240260.4
Solid fossil fuels,Spain,2007,262062.0
Solid fossil fuels,Spain,2008,175370.4
Solid fossil fuels,Spain,2009,129276.0
Solid fossil fuels,Spain,2010,91202.4
Solid fossil fuels,Spain,2011,158328.0
Solid fossil fuels,Spain,2012,198266.4
Solid fossil fuels,Spain,2013,143787.6
Solid fossil fuels,Spain,2014,157705.2
Solid fossil fuels,Spain,2015,184917.6
Solid fossil fuels,Spain,2016,131162.4
Solid fossil fuels,Spain,2017,162457.2
Solid fossil fuels,Spain,2018,134427.6
Solid fossil fuels,Spain,2019,46292.4
Solid fossil fuels,Spain,2020,19879.2
Solid fossil fuels,France,1990,113302.8
Solid fossil fuels,France,1991,142596.0
Solid fossil fuels,France,1992,123242.4
Solid fossil fuels,France,1993,75423.6
Solid fossil fuels,France,1994,75214.8
Solid fossil fuels,France,1995,87044.4
Solid fossil fuels,France,1996,100936.8
Solid fossil fuels,France,1997,79840.8
Solid fossil fuels,France,1998,120715.2
Solid fossil fuels,France,1999,105404.4
Solid fossil fuels,France,2000,97214.4
Solid fossil fuels,France,2001,73720.8
Solid fossil fuels,France,2002,85168.8
Solid fossil fuels,France,2003,94536.0
Solid fossil fuels,France,2004,87739.2
Solid fossil fuels,France,2005,99054.0
Solid fossil fuels,France,2006,82400.4
Solid fossil fuels,France,2007,88005.6
Solid fossil fuels,France,2008,83026.8
Solid fossil fuels,France,2009,78001.2
Solid fossil fuels,France,2010,84092.4
Solid fossil fuels,France,2011,62620.139
Solid fossil fuels,France,2012,77243.306
Solid fossil fuels,France,2013,85836.121
Solid fossil fuels,France,2014,40525.751
Solid fossil fuels,France,2015,42820.02
Solid fossil fuels,France,2016,36812.664
Solid fossil fuels,France,2017,46128.352
Solid fossil fuels,France,2018,29914.186
Solid fossil fuels,France,2019,13094.298
Solid fossil fuels,France,2020,11110.882
Solid fossil fuels,Italy,1990,115369.2
Solid fossil fuels,Italy,1991,102625.2
Solid fossil fuels,Italy,1992,76874.4
Solid fossil fuels,Italy,1993,59972.4
Solid fossil fuels,Italy,1994,71481.6
Solid fossil fuels,Italy,1995,86839.2
Solid fossil fuels,Italy,1996,79488.0
Solid fossil fuels,Italy,1997,73864.8
Solid fossil fuels,Italy,1998,83919.6
Solid fossil fuels,Italy,1999,85723.2
Solid fossil fuels,Italy,2000,94579.2
Solid fossil fuels,Italy,2001,114228.0
Solid fossil fuels,Italy,2002,127609.2
Solid fossil fuels,Italy,2003,139726.8
Solid fossil fuels,Italy,2004,163864.8
Solid fossil fuels,Italy,2005,156981.6
Solid fossil fuels,Italy,2006,159148.8
Solid fossil fuels,Italy,2007,158803.2
Solid fossil fuels,Italy,2008,155062.8
Solid fossil fuels,Italy,2009,143082.0
Solid fossil fuels,Italy,2010,143042.4
Solid fossil fuels,Italy,2011,161013.6
Solid fossil fuels,Italy,2012,176907.6
Solid fossil fuels,Italy,2013,162378.0
Solid fossil fuels,Italy,2014,156434.4
Solid fossil fuels,Italy,2015,155523.6
Solid fossil fuels,Italy,2016,128185.2
Solid fossil fuels,Italy,2017,117458.734
Solid fossil fuels,Italy,2018,102491.525
Solid fossil fuels,Italy,2019,67822.016
Solid fossil fuels,Italy,2020,48166.15
Solid fossil fuels,Netherlands,1990,90050.4
Solid fossil fuels,Netherlands,1991,81590.4
Solid fossil fuels,Netherlands,1992,81464.4
Solid fossil fuels,Netherlands,1993,77061.6
Solid fossil fuels,Netherlands,1994,86785.2
Solid fossil fuels,Netherlands,1995,98636.4
Solid fossil fuels,Netherlands,1996,92941.2
Solid fossil fuels,Netherlands,1997,87976.8
Solid fossil fuels,Netherlands,1998,95158.8
Solid fossil fuels,Netherlands,1999,78926.4
Solid fossil fuels,Netherlands,2000,87393.6
Solid fossil fuels,Netherlands,2001,91731.6
Solid fossil fuels,Netherlands,2002,93571.2
Solid fossil fuels,Netherlands,2003,95655.6
Solid fossil fuels,Netherlands,2004,89809.2
Solid fossil fuels,Netherlands,2005,84600.0
Solid fossil fuels,Netherlands,2006,85453.2
Solid fossil fuels,Netherlands,2007,89701.2
Solid fossil fuels,Netherlands,2008,84538.8
Solid fossil fuels,Netherlands,2009,87400.8
Solid fossil fuels,Netherlands,2010,81316.8
Solid fossil fuels,Netherlands,2011,77004.0
Solid fossil fuels,Netherlands,2012,87163.2
Solid fossil fuels,Netherlands,2013,88610.4
Solid fossil fuels,Netherlands,2014,106146.0
Solid fossil fuels,Netherlands,2015,141805.886
Solid fossil fuels,Netherlands,2016,132221.56
Solid fossil fuels,Netherlands,2017,112606.222
Solid fossil fuels,Netherlands,2018,98891.147
Solid fossil fuels,Netherlands,2019,63773.885
Solid fossil fuels,Netherlands,2020,27379.523
Solid fossil fuels,Poland,1990,469299.6
Solid fossil fuels,Poland,1991,463500.0
Solid fossil fuels,Poland,1992,455691.6
Solid fossil fuels,Poland,1993,459622.8
Solid fossil fuels,Poland,1994,462218.4
Solid fossil fuels,Poland,1995,474354.0
Solid fossil fuels,Poland,1996,487731.6
Solid fossil fuels,Poland,1997,485067.6
Solid fossil fuels,Poland,1998,483224.4
Solid fossil fuels,Poland,1999,479973.6
Solid fossil fuels,Poland,2000,489196.8
Solid fossil fuels,Poland,2001,485892.0
Solid fossil fuels,Poland,2002,478634.4
Solid fossil fuels,Poland,2003,506368.8
Solid fossil fuels,Poland,2004,508035.6
Solid fossil fuels,Poland,2005,510771.6
Solid fossil fuels,Poland,2006,529228.8
Solid fossil fuels,Poland,2007,518432.4
Solid fossil fuels,Poland,2008,500022.0
Solid fossil fuels,Poland,2009,480200.4
Solid fossil fuels,Poland,2010,491450.4
Solid fossil fuels,Poland,2011,503128.8
Solid fossil fuels,Poland,2012,484462.8
Solid fossil fuels,Poland,2013,495784.8
Solid fossil fuels,Poland,2014,466272.0
Solid fossil fuels,Poland,2015,469868.4
